artist,song,e_label,v_label,youtube_link
Erick Sermon,Music (feat. Marvin Gaye),1.0,2.0,https://youtube.com/watch?v=8zjuzL6EMBQ
D12,Purple Pills,1.0,2.0,https://youtube.com/watch?v=oMhd_SZtLLE
Usher,Pop Ya Collar - Radio Edit,2.0,2.0,https://youtube.com/watch?v=55YLkeXId6I
Madonna,Don't Tell Me,1.0,2.0,https://youtube.com/watch?v=gLFWRDsx5AI
Blue,If You Come Back,2.0,2.0,https://youtube.com/watch?v=Qv9vKSgymu4
Atomic Kitten,Eternal Flame - Single Version,1.0,1.0,https://youtube.com/watch?v=aztY_fpjJeQ
Jagged Edge,Where the Party At (feat. Nelly),1.0,2.0,https://youtube.com/watch?v=9UCY_U4QwqI
Afroman,Because I Got High,1.0,2.0,https://youtube.com/watch?v=WeYsTmIzjkw
S Club 7,Don't Stop Movin',2.0,2.0,https://youtube.com/watch?v=VL-QaX0EJBs
Craig David,Fill Me In,2.0,2.0,https://youtube.com/watch?v=3imO7PFU5cI
Nelly Furtado,Turn Off The Light,2.0,1.0,https://youtube.com/watch?v=kOL7aeIDruA
The Supermen Lovers,Starlight - Radio Edit,2.0,2.0,https://youtube.com/watch?v=ByK5qt0pRg8
Mis-Teeq,All I Want - Sunship Radio Edit,2.0,2.0,https://youtube.com/watch?v=2vnZH06BcnE
Jagged Edge,Promise,1.0,1.0,https://youtube.com/watch?v=lXd1GHJPx-A
S Club 7,Have You Ever,2.0,1.0,https://youtube.com/watch?v=s2s3DVyHwYA
Enya,Only Time,0.0,0.0,https://youtube.com/watch?v=7wfYIMyS_dI
Faith Hill,There You'll Be,1.0,0.0,https://youtube.com/watch?v=_NkRNg0TZOw
Ronan Keating,Lovin' Each Day,2.0,2.0,https://youtube.com/watch?v=wCzMZUOfj34
Destiny's Child,Bootylicious,2.0,1.0,https://youtube.com/watch?v=IyYnnUcgeMc
Steps,It's the Way You Make Me Feel,1.0,1.0,https://youtube.com/watch?v=E9L-0x92vXk
Sunshine Anderson,Heard It All Before,2.0,2.0,https://youtube.com/watch?v=W4-EnbaN2J0
Lenny Kravitz,Again,2.0,2.0,https://youtube.com/watch?v=eW2qlKa6oHw
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,2.0,2.0,https://youtube.com/watch?v=mWd9BpT5ips
DB Boulevard,Point Of View - Radio Edit,2.0,0.0,https://youtube.com/watch?v=6Y77wGcjCDg
Janet Jackson,All For You,2.0,2.0,https://youtube.com/watch?v=J551f-TyqjY
Atomic Kitten,Whole Again,2.0,1.0,https://youtube.com/watch?v=1V0xQkk9kbc
Ja Rule,Livin' It Up,2.0,1.0,https://youtube.com/watch?v=SaCT0pMPM5M
Destiny's Child,"Independent Women, Pt. 1",1.0,2.0,https://youtube.com/watch?v=0lPQZni7I18
DJ Pied Piper & The Masters Of Ceremonies,Do You Really Like It? - Radio Edit,2.0,2.0,https://youtube.com/watch?v=khW5leL19SA
Jennifer Lopez,I'm Real (feat. Ja Rule) - Murder Remix,1.0,1.0,https://youtube.com/watch?v=Sjx9oSJDAVQ
Musiq Soulchild,Love,1.0,1.0,https://youtube.com/watch?v=OIKC2ggCed4
So Solid Crew,21 Seconds,1.0,2.0,https://youtube.com/watch?v=g7VhofoV3qs
Robbie Williams,Eternity,0.0,0.0,https://youtube.com/watch?v=E16qbwzlxBM
Basement Jaxx,Romeo,2.0,2.0,https://youtube.com/watch?v=x2wUbgAAydY
Ludacris,Southern Hospitality (Featuring Pharrell),2.0,1.0,https://youtube.com/watch?v=2QWQVm9J5DM
Gabrielle,Rise,1.0,1.0,https://youtube.com/watch?v=qDcmf_GhlZY
Nelly,Ride Wit Me,2.0,2.0,https://youtube.com/watch?v=RtSDWq6HsJE
Trick Daddy,I'm a Thug,1.0,1.0,https://youtube.com/watch?v=ILCNAln_7Z4
Travis,Sing,2.0,0.0,https://youtube.com/watch?v=eYO1-gGWJyo
JAY-Z,Izzo (H.O.V.A.),2.0,2.0,https://youtube.com/watch?v=GRKmpn3SBdw
Gabrielle,Out Of Reach,1.0,1.0,https://youtube.com/watch?v=uxfAIVfmRa8
OPM,Heaven Is a Halfpipe (If I Die),2.0,2.0,https://youtube.com/watch?v=6LoS9mvrH_0
K-Ci & JoJo,Crazy,1.0,1.0,https://youtube.com/watch?v=qi-KCd0guJI
Staind,It's Been Awhile,2.0,0.0,https://youtube.com/watch?v=araU0fZj6oQ
3LW,No More (Baby I'ma Do Right),2.0,2.0,https://youtube.com/watch?v=drvS9w-lTMc
Ginuwine,Differences,1.0,1.0,https://youtube.com/watch?v=U_90XNCBatY
*NSYNC,Gone,1.0,1.0,https://youtube.com/watch?v=IbRwSI8yi1o
Lifehouse,Hanging By A Moment,2.0,1.0,https://youtube.com/watch?v=tPnK39ax_AM
Nelly,Dilemma,1.0,1.0,https://youtube.com/watch?v=8WYHDfJDPDc
Eminem,Without Me,2.0,1.0,https://youtube.com/watch?v=YVkUvmDQ3HY
Avril Lavigne,Complicated,2.0,1.0,https://youtube.com/watch?v=5NPBIwQyPWE
Vanessa Carlton,A Thousand Miles,2.0,0.0,https://youtube.com/watch?v=Cwkej79U3ek
The Calling,Wherever You Will Go,2.0,1.0,https://youtube.com/watch?v=iAP9AF6DCu4
Shakira,Underneath Your Clothes,1.0,1.0,https://youtube.com/watch?v=uwBwKcQ1k84
No Doubt,Underneath It All,2.0,2.0,https://youtube.com/watch?v=RvuVFHTvdaY
Truth Hurts,Addictive,2.0,1.0,https://youtube.com/watch?v=R828TTSXWQw
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),2.0,1.0,https://youtube.com/watch?v=WDaNJW_jEBo
Eminem,'Till I Collapse,2.0,0.0,https://youtube.com/watch?v=Obim8BYGnOE
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",1.0,2.0,https://youtube.com/watch?v=zGUttrXgzLI
Christina Milian,When You Look At Me - Radio Edit,2.0,2.0,https://youtube.com/watch?v=nxRIjRSzxGo
Madonna,Die Another Day,2.0,1.0,https://youtube.com/watch?v=VlbaJA7aO9M
Jennifer Lopez,I'm Gonna Be Alright (feat. Nas),2.0,2.0,https://youtube.com/watch?v=LzX23qVqyJg
Angie Martinez,If I Could Go! (feat. Lil' Mo & Sacario),1.0,2.0,https://youtube.com/watch?v=M1Qld1EgM1g
Linkin Park,In the End,2.0,1.0,https://youtube.com/watch?v=eVTXPUF4Oz4
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,2.0,2.0,https://youtube.com/watch?v=AMT698ArSfQ
Aaliyah,Rock The Boat,2.0,1.0,https://youtube.com/watch?v=3HSJU5fDg0A
Holly Valance,Kiss Kiss,2.0,1.0,https://youtube.com/watch?v=o3wS2tdlZtE
Sugababes,Round Round,2.0,2.0,https://youtube.com/watch?v=FHh86ySgKrA
Marilyn Manson,Tainted Love,2.0,1.0,https://youtube.com/watch?v=AVHITKnBnRY
Brandy,What About Us?,2.0,2.0,https://youtube.com/watch?v=7sgajU9F2T0
Chad Kroeger,Hero (feat. Josey Scott),2.0,0.0,https://youtube.com/watch?v=TmSRMWw8Y_0
Britney Spears,Overprotected - Radio Edit,2.0,2.0,https://youtube.com/watch?v=SFxauuLdCpM
Scooter,The Logical Song,2.0,1.0,https://youtube.com/watch?v=4YxTa1AUqps
Missy Elliott,4 My People (feat. Eve),2.0,2.0,https://youtube.com/watch?v=HWYGDFoNHko
Aaliyah,More Than A Woman,1.0,2.0,https://youtube.com/watch?v=J6MgmRFzG6Q
Brandy,Full Moon,1.0,1.0,https://youtube.com/watch?v=T5WND4daNuM
Blue,One Love,2.0,2.0,https://youtube.com/watch?v=zXpt4K0pm80
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,2.0,1.0,https://youtube.com/watch?v=o4ZUaxyPoZ8
Céline Dion,A New Day Has Come - Radio Remix,2.0,0.0,https://youtube.com/watch?v=sXvYd13rdrE
Scooter,Nessaja,2.0,0.0,https://youtube.com/watch?v=wquCCFvbNhI
Eve,Gangsta Lovin',2.0,2.0,https://youtube.com/watch?v=aNI8XFEAyI0
Disturbing Tha Peace,Move Bitch,2.0,0.0,https://youtube.com/watch?v=tw429JGL5zo
Khia,"My Neck, My Back (Lick It)",1.0,2.0,https://youtube.com/watch?v=bW92agO2NxY
Tweet,Oops (Oh My) [feat. Missy Elliott],1.0,2.0,https://youtube.com/watch?v=P5rqNyulfsQ
Kylie Minogue,Spinning Around,1.0,1.0,https://youtube.com/watch?v=t1DWBKk5xHQ
Nelly,Hot In Herre,2.0,2.0,https://youtube.com/watch?v=GeZZr_p6vB8
Gareth Gates,Anyone of Us (Stupid Mistake),2.0,1.0,https://youtube.com/watch?v=iFa6I9KN63Q
Christina Aguilera,Dirrty (feat. Redman),2.0,1.0,https://youtube.com/watch?v=4Rg3sAb8Id8
B2K,Uh Huh,2.0,2.0,https://youtube.com/watch?v=_kKiXD421Y0
Sugababes,Freak Like Me,2.0,1.0,https://youtube.com/watch?v=kGSajAGg9h4
Dirty Vegas,Days Go By,2.0,0.0,https://youtube.com/watch?v=gLCduDJVksc
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),2.0,2.0,https://youtube.com/watch?v=VpvyG2NrS1Y
Liberty X,Just A Little,1.0,2.0,https://youtube.com/watch?v=58O8SVBxLDQ
No Doubt,Hella Good,1.0,2.0,https://youtube.com/watch?v=QtTj4cramPM
LL Cool J,Luv U Better,2.0,2.0,https://youtube.com/watch?v=udEN8EdJT9k
Red Hot Chili Peppers,Can't Stop,2.0,2.0,https://youtube.com/watch?v=8DyziWtkfBw
